GENERIC_NAME,Number_of_aliphatic_carboxylic_acids,Number_of_aliphatic_hydroxyl_groups,Number_of_aliphatic_hydroxyl_groups_excluding_tert_OH,Number_of_N_functional_groups_attached_to_aromatics,Number_of_Aromatic_carboxylic_acide,Number_of_aromatic_nitrogens,Number_of_aromatic_amines,Number_of_aromatic_hydroxyl_groups,Number_of_carboxylic_acids,Number_of_carbonyl_O,Number_of_carbonyl_O__excluding_COOH,Number_of_thiocarbonyl,Number_of_C_OH_CCN_Ctert_alkyl_or_C_OH_CCNcyclic,Number_of_Imines,Number_of_Tertiary_amines,Number_of_Secondary_amines,Number_of_Primary_amines,Number_of_hydroxylamine_groups,Number_of_XCCNR_groups,Number_of_tert_alicyclic_amines__no_heteroatoms__not_quinine_like_bridged_N_,Number_of_H_pyrrole_nitrogens,Number_of_thiol_groups,Number_of_aldehydes,Number_of_alkyl_carbamates__subject_to_hydrolysis_,Number_of_alkyl_halides,Number_of_allylic_oxidation_sites_excluding_steroid_dienone,Number_of_amides,Number_of_amidine_groups,Number_of_anilines,Number_of_aryl_methyl_sites_for_hydroxylation,Number_of_azide_groups,Number_of_azo_groups,Number_of_barbiturate_groups,Number_of_benzene_rings,Number_of_benzodiazepines_with_no_additional_fused_rings,Bicyclic,Number_of_diazo_groups,Number_of_dihydropyridines,Number_of_epoxide_rings,Number_of_esters,Number_of_ether_oxygens__including_phenoxy_,Number_of_furan_rings,Number_of_guanidine_groups,Number_of_halogens,Number_of_hydrazine_groups,Number_of_hydrazone_groups,Number_of_imidazole_rings,Number_of_imide_groups,Number_of_isocyanates,Number_of_isothiocyanates,Number_of_ketones,Number_of_ketones_excluding_diaryl__a_b_unsat__dienones__heteroatom_on_Calpha,Number_of_beta_lactams,Number_of_cyclic_esters__lactones_,Number_of_methoxy_groups__OCH3,Number_of_morpholine_rings,Number_of_nitriles,Number_of_nitro_groups,Number_of_nitro_benzene_ring_substituents,Number_of_non_ortho_nitro_benzene_ring_substituents,Number_of_nitroso_groups__excluding_NO2,Number_of_oxazole_rings,Number_of_oxime_groups,Number_of_para_hydroxylation_sites,Number_of_phenols,Number_of_phenolic_OH_excluding_ortho_intramolecular_Hbond_substituents,Number_of_phosphoric_acid_groups,Number_of_phosphoric_ester_groups,Number_of_piperdine_rings,Number_of_piperzine_rings,Number_of_primary_amides,Number_of_primary_sulfonamides,Number_of_pyridine_rings,Number_of_quarternary_nitrogens,Number_of_thioether,Number_of_sulfonamides,Number_of_sulfone_groups,Number_of_terminal_acetylenes,Number_of_tetrazole_rings,Number_of_thiazole_rings,Number_of_thiocyanates,Number_of_thiophene_rings,Number_of_unbranched_alkanes_of_at_least_4_members__excludes_halogenated_alkanes_,Number_of_urea_groups,Direction
Erythromycin,0,5,3,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antagonistic
Caffeine,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
Doxycycline,0,4,3,0,0,0,0,1,0,3,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
Sulfanilamide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Neutral
Sulfisoxazole,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Neutral
Cefmetazole,1,0,0,0,0,4,0,0,1,3,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,Neutral
Lidocaine,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
Chlorambucil,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neutral
Piperacillin,1,0,0,0,0,0,0,0,1,6,5,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Synergistic
Amitriptyline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Synergistic
